Amstel Light, 3.5
Alaskan Amber, 5.0		
Alaskan Pale Ale, 4.6		
Alaskan Stout, 5.7		
Alaskan ESB, 5.0		
Alaskan Smoked Porter, 6.1		
Alaskan Winter Ale, 6.2		
Anchor Steam, 4.9
Anchor Liberty Ale, 6.0	
Anchor Porter, 5.6	
Anchor Old Foghorn, 9		
Anchor Small, 3.3		
Anderson Valley Boont Amber,	5.8		
Anderson Valley Hop Ottin',	7.0		
Anderson Valley Poleeko Gold, 5.5		
Anderson Valley Belk's ESB,	6.8		
Anderson Valley Barney Flats Oatmeal, 5.7		
Anderson Valley Winter Solstice, 6.9		
Anderson Valley High Rollers Wheat,	5.3		
Anderson Valley Deep Enders Porter,	5.5		
Beamish Stout, 3.8
Beck's, 5.0
Bell's Kalamazoo Two Hearted Ale, 7.0		
Bell's Kalamazoo Amber Ale, 5.5
Bell's Kalamazoo Pale Ale, 5.0	
Kalamazoo Stout, 6.5
Bell's Kalamazoo Oberon, 6.0		
Bell's Kalamazoo Double Cream Stout, 7.5		
Bell's Kalamazoo Third Coast Old Ale, 10.2		
Bell's Kalamazoo Expedition Stout, 10.0		
Bell's Kalamazoo Best Brown Ale, 5.8		
Bell's Kalamazoo Cherry Stout, 8.0		
Blue Moon White,	5.4
Breckenridge Avalanche Amber,	5.4		
Breckenridge Autumn Ale,	6.7		
Breckenridge Pale Ale,	5.7		
Breckenridge Christmas Ale,	7.4		
Breckenridge Oatmeal Stout,	5.0		
Breckenridge Pandora's Bock,	5.8		
BridgePort IPA,	5.5		
BridgePort Porter,	5.5		
BridgePort ESB,	6.1		
BridgePort Black Strap Stout,	6.0		
BridgePort Blue Heron,	4.9		
BridgePort Pintail Ale,	5.2		
BridgePort Ebenezer Ale,	6.4		
BridgePort Old Knucklehead,	8.9		
Budweiser,	5.0
Bud Light,	4.2
Bud Ice,	5.5
Bud Ice Light,	4.1
Budvar,	5.0
Busch,	4.6
Busch Light, 4.1
Busch Ice, 5.9
Clausthaler, 0.4
Colt 45 Malt Liquor, 6.0
Coors Original, 5.0
Coors Light, 4.2
Coors Extra Gold, 5.0
Coors NA, 0.5
Corona Light, 4.5
Corona Extra, 4.6
Czechvar, 5.0		
Deschutes Cascade Ale, 4.5
Deschutes Mirror Pond Pale,	5.3
Deschutes Bachelor ESB,	5.0
Deschutes Black Butte Porter, 5.2
Deschutes Quail Springs IPA, 5.8
Deschutes Obsidian Stout, 6.7
Deschutes Jubelale,	6.7
Deschutes Broken Top Bock, 7.0
Deschutes Pine Mountain Pils, 5.1
Deschutes Cinder Cone Red, 5.8
Dos Equis XX, 4.8
